#,Name,Disclosure Date,Rank,Check,Description
"0","auxiliary/admin/2wire/xslt_password_reset","2007-08-15","normal","No","2Wire Cross-Site Request Forgery Password Reset Vulnerability"
"1","auxiliary/admin/android/google_play_store_uxss_xframe_rce","","normal","No","Android Browser RCE Through Google Play Store XFO"
"2","auxiliary/admin/appletv/appletv_display_image","","normal","No","Apple TV Image Remote Control"
"3","auxiliary/admin/appletv/appletv_display_video","","normal","No","Apple TV Video Remote Control"
"4","auxiliary/admin/atg/atg_client","","normal","No","Veeder-Root Automatic Tank Gauge (ATG) Administrative Client"
"5","auxiliary/admin/aws/aws_launch_instances","","normal","No","Launches Hosts in AWS"
"6","auxiliary/admin/backupexec/dump","","normal","No","Veritas Backup Exec Windows Remote File Access"
"7","auxiliary/admin/backupexec/registry","","normal","No","Veritas Backup Exec Server Registry Access"
"8","auxiliary/admin/chromecast/chromecast_reset","","normal","No","Chromecast Factory Reset DoS"
"9","auxiliary/admin/chromecast/chromecast_youtube","","normal","No","Chromecast YouTube Remote Control"
"10","auxiliary/admin/citrix/citrix_netscaler_config_decrypt","2022-05-19","normal","No","Decrypt Citrix NetScaler Config Secrets"
"11","auxiliary/admin/db2/db2rcmd","2004-03-04","normal","No","IBM DB2 db2rcmd.exe Command Execution Vulnerability"
"12","auxiliary/admin/dcerpc/cve_2020_1472_zerologon","","normal","Yes","Netlogon Weak Cryptographic Authentication"
"13","auxiliary/admin/dcerpc/cve_2022_26923_certifried","","normal","No","Active Directory Certificate Services (ADCS) privilege escalation (Certifried)"
"14","auxiliary/admin/dcerpc/icpr_cert","","normal","No","ICPR Certificate Management"
"15","auxiliary/admin/dcerpc/samr_computer","","normal","No","SAMR Computer Management"
"16","auxiliary/admin/dns/dyn_dns_update","","normal","No","DNS Server Dynamic Update Record Injection"
"17","auxiliary/admin/edirectory/edirectory_dhost_cookie","","normal","No","Novell eDirectory DHOST Predictable Session Cookie"
"18","auxiliary/admin/edirectory/edirectory_edirutil","","normal","No","Novell eDirectory eMBox Unauthenticated File Access"
"19","auxiliary/admin/emc/alphastor_devicemanager_exec","2008-05-27","normal","No","EMC AlphaStor Device Manager Arbitrary Command Execution"
"20","auxiliary/admin/emc/alphastor_librarymanager_exec","2008-05-27","normal","No","EMC AlphaStor Library Manager Arbitrary Command Execution"
"21","auxiliary/admin/firetv/firetv_youtube","","normal","No","Amazon Fire TV YouTube Remote Control"
"22","auxiliary/admin/hp/hp_data_protector_cmd","2011-02-07","normal","No","HP Data Protector 6.1 EXEC_CMD Command Execution"
"23","auxiliary/admin/hp/hp_ilo_create_admin_account","2017-08-24","normal","Yes","HP iLO 4 1.00-2.50 Authentication Bypass Administrator Account Creation"
"24","auxiliary/admin/hp/hp_imc_som_create_account","2013-10-08","normal","No","HP Intelligent Management SOM Account Creation"
"25","auxiliary/admin/http/allegro_rompager_auth_bypass","2014-12-17","normal","No","Allegro Software RomPager 'Misfortune Cookie' (CVE-2014-9222) Authentication Bypass"
"26","auxiliary/admin/http/arris_motorola_surfboard_backdoor_xss","2015-04-08","normal","No","Arris / Motorola Surfboard SBG6580 Web Interface Takeover"
"27","auxiliary/admin/http/axigen_file_access","2012-10-31","normal","No","Axigen Arbitrary File Read and Delete"
"28","auxiliary/admin/http/cfme_manageiq_evm_pass_reset","2013-11-12","normal","No","Red Hat CloudForms Management Engine 5.1 miq_policy/explorer SQL Injection"
"29","auxiliary/admin/http/cisco_7937g_ssh_privesc","2020-06-02","normal","No","Cisco 7937G SSH Privilege Escalation"
"30","auxiliary/admin/http/cnpilot_r_cmd_exec","","normal","No","Cambium cnPilot r200/r201 Command Execution as 'root'"
"31","auxiliary/admin/http/cnpilot_r_fpt","","normal","No","Cambium cnPilot r200/r201 File Path Traversal"
"32","auxiliary/admin/http/contentkeeper_fileaccess","","normal","No","ContentKeeper Web Appliance mimencode File Access"
"33","auxiliary/admin/http/dlink_dir_300_600_exec_noauth","2013-02-04","normal","No","D-Link DIR-600 / DIR-300 Unauthenticated Remote Command Execution"
"34","auxiliary/admin/http/dlink_dir_645_password_extractor","","normal","No","D-Link DIR 645 Password Extractor"
"35","auxiliary/admin/http/dlink_dsl320b_password_extractor","","normal","No","D-Link DSL 320B Password Extractor"
"36","auxiliary/admin/http/foreman_openstack_satellite_priv_esc","2013-06-06","normal","No","Foreman (Red Hat OpenStack/Satellite) users/create Mass Assignment"
"37","auxiliary/admin/http/gitstack_rest","2018-01-15","normal","No","GitStack Unauthenticated REST API Requests"
"38","auxiliary/admin/http/grafana_auth_bypass","2019-08-14","normal","No","Grafana 2.0 through 5.2.2 authentication bypass for LDAP and OAuth"
"39","auxiliary/admin/http/hikvision_unauth_pwd_reset_cve_2017_7921","2017-09-23","normal","Yes","Hikvision IP Camera Unauthenticated Password Change Via Improper Authentication Logic"
"40","auxiliary/admin/http/hp_web_jetadmin_exec","2004-04-27","normal","No","HP Web JetAdmin 6.5 Server Arbitrary Command Execution"
"41","auxiliary/admin/http/ibm_drm_download","2020-04-21","normal","Yes","IBM Data Risk Manager Arbitrary File Download"
"42","auxiliary/admin/http/iis_auth_bypass","2010-07-02","normal","No","MS10-065 Microsoft IIS 5 NTFS Stream Authentication Bypass"
"43","auxiliary/admin/http/intersil_pass_reset","2007-09-10","normal","Yes","Intersil (Boa) HTTPd Basic Authentication Password Reset"
"44","auxiliary/admin/http/iomega_storcenterpro_sessionid","","normal","No","Iomega StorCenter Pro NAS Web Authentication Bypass"
"45","auxiliary/admin/http/jboss_bshdeployer","","normal","No","JBoss JMX Console Beanshell Deployer WAR Upload and Deployment"
"46","auxiliary/admin/http/jboss_deploymentfilerepository","","normal","No","JBoss JMX Console DeploymentFileRepository WAR Upload and Deployment"
"47","auxiliary/admin/http/jboss_seam_exec","2010-07-19","normal","No","JBoss Seam 2 Remote Command Execution"
