#,Name,Disclosure Date,Rank,Check,Description
"0","payload/aix/ppc/shell_bind_tcp","","normal","No","AIX Command Shell, Bind TCP Inline"
"1","payload/aix/ppc/shell_find_port","","normal","No","AIX Command Shell, Find Port Inline"
"2","payload/aix/ppc/shell_interact","","normal","No","AIX execve Shell for inetd"
"3","payload/aix/ppc/shell_reverse_tcp","","normal","No","AIX Command Shell, Reverse TCP Inline"
"4","payload/android/meterpreter/reverse_http","","normal","No","Android Meterpreter, Android Reverse HTTP Stager"
"5","payload/android/meterpreter/reverse_https","","normal","No","Android Meterpreter, Android Reverse HTTPS Stager"
"6","payload/android/meterpreter/reverse_tcp","","normal","No","Android Meterpreter, Android Reverse TCP Stager"
"7","payload/android/meterpreter_reverse_http","","normal","No","Android Meterpreter Shell, Reverse HTTP Inline"
"8","payload/android/meterpreter_reverse_https","","normal","No","Android Meterpreter Shell, Reverse HTTPS Inline"
"9","payload/android/meterpreter_reverse_tcp","","normal","No","Android Meterpreter Shell, Reverse TCP Inline"
"10","payload/android/shell/reverse_http","","normal","No","Command Shell, Android Reverse HTTP Stager"
"11","payload/android/shell/reverse_https","","normal","No","Command Shell, Android Reverse HTTPS Stager"
"12","payload/android/shell/reverse_tcp","","normal","No","Command Shell, Android Reverse TCP Stager"
"13","payload/apple_ios/aarch64/meterpreter_reverse_http","","normal","No","Apple_iOS Meterpreter, Reverse HTTP Inline"
"14","payload/apple_ios/aarch64/meterpreter_reverse_https","","normal","No","Apple_iOS Meterpreter, Reverse HTTPS Inline"
"15","payload/apple_ios/aarch64/meterpreter_reverse_tcp","","normal","No","Apple_iOS Meterpreter, Reverse TCP Inline"
"16","payload/apple_ios/aarch64/shell_reverse_tcp","","normal","No","Apple iOS aarch64 Command Shell, Reverse TCP Inline"
"17","payload/apple_ios/armle/meterpreter_reverse_http","","normal","No","Apple_iOS Meterpreter, Reverse HTTP Inline"
"18","payload/apple_ios/armle/meterpreter_reverse_https","","normal","No","Apple_iOS Meterpreter, Reverse HTTPS Inline"
"19","payload/apple_ios/armle/meterpreter_reverse_tcp","","normal","No","Apple_iOS Meterpreter, Reverse TCP Inline"
"20","payload/bsd/sparc/shell_bind_tcp","","normal","No","BSD Command Shell, Bind TCP Inline"
"21","payload/bsd/sparc/shell_reverse_tcp","","normal","No","BSD Command Shell, Reverse TCP Inline"
"22","payload/bsd/vax/shell_reverse_tcp","","normal","No","BSD Command Shell, Reverse TCP Inline"
"23","payload/bsd/x64/exec","","normal","No","BSD x64 Execute Command"
"24","payload/bsd/x64/shell_bind_ipv6_tcp","","normal","No","BSD x64 Command Shell, Bind TCP Inline (IPv6)"
"25","payload/bsd/x64/shell_bind_tcp","","normal","No","BSD x64 Shell Bind TCP"
"26","payload/bsd/x64/shell_bind_tcp_small","","normal","No","BSD x64 Command Shell, Bind TCP Inline"
"27","payload/bsd/x64/shell_reverse_ipv6_tcp","","normal","No","BSD x64 Command Shell, Reverse TCP Inline (IPv6)"
"28","payload/bsd/x64/shell_reverse_tcp","","normal","No","BSD x64 Shell Reverse TCP"
"29","payload/bsd/x64/shell_reverse_tcp_small","","normal","No","BSD x64 Command Shell, Reverse TCP Inline"
"30","payload/bsd/x86/exec","","normal","No","BSD Execute Command"
"31","payload/bsd/x86/metsvc_bind_tcp","","normal","No","FreeBSD Meterpreter Service, Bind TCP"
"32","payload/bsd/x86/metsvc_reverse_tcp","","normal","No","FreeBSD Meterpreter Service, Reverse TCP Inline"
"33","payload/bsd/x86/shell/bind_ipv6_tcp","","normal","No","BSD Command Shell, Bind TCP Stager (IPv6)"
"34","payload/bsd/x86/shell/bind_tcp","","normal","No","BSD Command Shell, Bind TCP Stager"
"35","payload/bsd/x86/shell/find_tag","","normal","No","BSD Command Shell, Find Tag Stager"
"36","payload/bsd/x86/shell/reverse_ipv6_tcp","","normal","No","BSD Command Shell, Reverse TCP Stager (IPv6)"
"37","payload/bsd/x86/shell/reverse_tcp","","normal","No","BSD Command Shell, Reverse TCP Stager"
"38","payload/bsd/x86/shell_bind_tcp","","normal","No","BSD Command Shell, Bind TCP Inline"
"39","payload/bsd/x86/shell_bind_tcp_ipv6","","normal","No","BSD Command Shell, Bind TCP Inline (IPv6)"
"40","payload/bsd/x86/shell_find_port","","normal","No","BSD Command Shell, Find Port Inline"
"41","payload/bsd/x86/shell_find_tag","","normal","No","BSD Command Shell, Find Tag Inline"
"42","payload/bsd/x86/shell_reverse_tcp","","normal","No","BSD Command Shell, Reverse TCP Inline"
"43","payload/bsd/x86/shell_reverse_tcp_ipv6","","normal","No","BSD Command Shell, Reverse TCP Inline (IPv6)"
"44","payload/bsdi/x86/shell/bind_tcp","","normal","No","BSDi Command Shell, Bind TCP Stager"
"45","payload/bsdi/x86/shell/reverse_tcp","","normal","No","BSDi Command Shell, Reverse TCP Stager"
"46","payload/bsdi/x86/shell_bind_tcp","","normal","No","BSDi Command Shell, Bind TCP Inline"
