#,Name,Disclosure Date,Rank,Check,Description
"0","post/aix/hashdump","","normal","No","AIX Gather Dump Password Hashes"
"1","post/android/capture/screen","","normal","No","Android Screen Capture"
"2","post/android/gather/hashdump","","normal","No","Android Gather Dump Password Hashes for Android Systems"
"3","post/android/gather/sub_info","","normal","No","extracts subscriber info from target device"
"4","post/android/gather/wireless_ap","","normal","No","Displays wireless SSIDs and PSKs"
"5","post/android/local/koffee","2020-12-02","normal","No","KOFFEE - Kia OFFensivE Exploit"
"6","post/android/manage/remove_lock","2013-10-11","normal","No","Android Settings Remove Device Locks (4.0-4.3)"
"7","post/android/manage/remove_lock_root","","normal","No","Android Root Remove Device Locks (root)"
"8","post/apple_ios/gather/ios_image_gather","","normal","No","iOS Image Gatherer"
"9","post/apple_ios/gather/ios_text_gather","","normal","No","iOS Text Gatherer"
"10","post/bsd/gather/hashdump","","normal","No","BSD Dump Password Hashes"
"11","post/firefox/gather/cookies","2014-03-26","normal","No","Firefox Gather Cookies from Privileged Javascript Shell"
"12","post/firefox/gather/history","2014-04-11","normal","No","Firefox Gather History from Privileged Javascript Shell"
"13","post/firefox/gather/passwords","2014-04-11","normal","No","Firefox Gather Passwords from Privileged Javascript Shell"
"14","post/firefox/gather/xss","","normal","No","Firefox XSS"
"15","post/firefox/manage/webcam_chat","2014-05-13","normal","No","Firefox Webcam Chat on Privileged Javascript Shell"
"16","post/hardware/automotive/can_flood","","normal","No","CAN Flood"
"17","post/hardware/automotive/canprobe","","normal","No","Module to Probe Different Data Points in a CAN Packet"
"18","post/hardware/automotive/diagnostic_state","","normal","No","Diagnostic State"
"19","post/hardware/automotive/ecu_hard_reset","","normal","No","ECU Hard Reset"
"20","post/hardware/automotive/getvinfo","","normal","No","Get the Vehicle Information Such as the VIN from the Target Module"
"21","post/hardware/automotive/identifymodules","","normal","No","Scan CAN Bus for Diagnostic Modules"
"22","post/hardware/automotive/malibu_overheat","","normal","No","Sample Module to Flood Temp Gauge on 2006 Malibu"
"23","post/hardware/automotive/mazda_ic_mover","","normal","No","Mazda 2 Instrument Cluster Accelorometer Mover"
"24","post/hardware/automotive/pdt","","normal","No","Check For and Prep the Pyrotechnic Devices (Airbags, Battery Clamps, etc.)"
"25","post/hardware/rftransceiver/rfpwnon","","normal","No","Brute Force AM/OOK (ie: Garage Doors)"
"26","post/hardware/rftransceiver/transmitter","","normal","No","RF Transceiver Transmitter"
"27","post/hardware/zigbee/zstumbler","","normal","No","Sends Beacons to Scan for Active ZigBee Networks"
"28","post/linux/busybox/enum_connections","","normal","No","BusyBox Enumerate Connections"
"29","post/linux/busybox/enum_hosts","","normal","No","BusyBox Enumerate Host Names"
"30","post/linux/busybox/jailbreak","","normal","No","BusyBox Jailbreak"
"31","post/linux/busybox/ping_net","","normal","No","BusyBox Ping Network Enumeration"
"32","post/linux/busybox/set_dmz","","normal","No","BusyBox DMZ Configuration"
"33","post/linux/busybox/set_dns","","normal","No","BusyBox DNS Configuration"
"34","post/linux/busybox/smb_share_root","","normal","No","BusyBox SMB Sharing"
"35","post/linux/busybox/wget_exec","","normal","No","BusyBox Download and Execute"
"36","post/linux/dos/xen_420_dos","","normal","No","Linux DoS Xen 4.2.0 2012-5525"
"37","post/linux/gather/checkcontainer","","normal","No","Linux Gather Container Detection"
"38","post/linux/gather/checkvm","","normal","No","Linux Gather Virtual Environment Detection"
"39","post/linux/gather/ecryptfs_creds","","normal","No","Gather eCryptfs Metadata"
"40","post/linux/gather/enum_commands","","normal","No","Gather Available Shell Commands"
"41","post/linux/gather/enum_configs","","normal","No","Linux Gather Configurations"
"42","post/linux/gather/enum_containers","","normal","No","Linux Container Enumeration"
"43","post/linux/gather/enum_nagios_xi","2018-04-17","normal","No","Nagios XI Enumeration"
"44","post/linux/gather/enum_network","","normal","No","Linux Gather Network Information"
"45","post/linux/gather/enum_protections","","normal","No","Linux Gather Protection Enumeration"
"46","post/linux/gather/enum_psk","","normal","No","Linux Gather NetworkManager 802-11-Wireless-Security Credentials"
"47","post/linux/gather/enum_system","","normal","No","Linux Gather System and User Information"
"48","post/linux/gather/enum_users_history","","normal","No","Linux Gather User History"
"49","post/linux/gather/f5_loot_mcp","2022-11-16","normal","No","F5 Big-IP Gather Information from MCP Datastore"
"50","post/linux/gather/gnome_commander_creds","","normal","No","Linux Gather Gnome-Commander Creds"
"51","post/linux/gather/gnome_keyring_dump","","normal","No","Gnome-Keyring Dump"
"52","post/linux/gather/haserl_read","","normal","No","Haserl Arbitrary File Reader"
"53","post/linux/gather/hashdump","","normal","No","Linux Gather Dump Password Hashes for Linux Systems"
