#,Name,Disclosure Date,Rank,Check,Description
"0","payload/osx/armle/shell_bind_tcp","","normal","No","Apple iOS Command Shell, Bind TCP Inline"
"1","payload/osx/armle/shell_reverse_tcp","","normal","No","Apple iOS Command Shell, Reverse TCP Inline"
"2","payload/osx/armle/vibrate","","normal","No","Apple iOS iPhone Vibrate"
"3","payload/generic/debug_trap","","normal","No","Generic x86 Debug Trap"
"4","payload/generic/tight_loop","","normal","No","Generic x86 Tight Loop"
"5","payload/java/jsp_shell_bind_tcp","","normal","No","Java JSP Command Shell, Bind TCP Inline"
"6","payload/java/jsp_shell_reverse_tcp","","normal","No","Java JSP Command Shell, Reverse TCP Inline"
"7","payload/osx/x86/bundleinject/bind_tcp","","normal","No","Mac OS X Inject Mach-O Bundle, Bind TCP Stager"
"8","payload/osx/x86/bundleinject/reverse_tcp","","normal","No","Mac OS X Inject Mach-O Bundle, Reverse TCP Stager"
"9","payload/osx/x86/isight/bind_tcp","","normal","No","Mac OS X x86 iSight Photo Capture, Bind TCP Stager"
"10","payload/osx/x86/isight/reverse_tcp","","normal","No","Mac OS X x86 iSight Photo Capture, Reverse TCP Stager"
"11","payload/osx/x86/vforkshell_bind_tcp","","normal","No","OS X (vfork) Command Shell, Bind TCP Inline"
"12","payload/osx/x86/vforkshell/bind_tcp","","normal","No","OS X (vfork) Command Shell, Bind TCP Stager"
"13","payload/osx/x86/vforkshell_reverse_tcp","","normal","No","OS X (vfork) Command Shell, Reverse TCP Inline"
"14","payload/osx/x86/vforkshell/reverse_tcp","","normal","No","OS X (vfork) Command Shell, Reverse TCP Stager"
"15","payload/osx/ppc/shell_bind_tcp","","normal","No","OS X Command Shell, Bind TCP Inline"
"16","payload/osx/x86/shell_bind_tcp","","normal","No","OS X Command Shell, Bind TCP Inline"
"17","payload/osx/armle/shell/bind_tcp","","normal","No","OS X Command Shell, Bind TCP Stager"
"18","payload/osx/ppc/shell/bind_tcp","","normal","No","OS X Command Shell, Bind TCP Stager"
"19","payload/osx/x86/shell_find_port","","normal","No","OS X Command Shell, Find Port Inline"
"20","payload/osx/ppc/shell/find_tag","","normal","No","OS X Command Shell, Find Tag Stager"
"21","payload/osx/ppc/shell_reverse_tcp","","normal","No","OS X Command Shell, Reverse TCP Inline"
"22","payload/osx/x86/shell_reverse_tcp","","normal","No","OS X Command Shell, Reverse TCP Inline"
"23","payload/osx/armle/shell/reverse_tcp","","normal","No","OS X Command Shell, Reverse TCP Stager"
"24","payload/osx/ppc/shell/reverse_tcp","","normal","No","OS X Command Shell, Reverse TCP Stager"
"25","payload/osx/x86/exec","","normal","No","OS X Execute Command"
"26","payload/osx/armle/execute/bind_tcp","","normal","No","OS X Write and Execute Binary, Bind TCP Stager"
"27","payload/osx/armle/execute/reverse_tcp","","normal","No","OS X Write and Execute Binary, Reverse TCP Stager"
"28","payload/osx/x64/dupandexecve/bind_tcp","","normal","No","OS X dup2 Command Shell, Bind TCP Stager"
"29","payload/osx/x64/dupandexecve/reverse_tcp","","normal","No","OS X dup2 Command Shell, Reverse TCP Stager"
"30","payload/osx/x64/dupandexecve/reverse_tcp_uuid","","normal","No","OS X dup2 Command Shell, Reverse TCP Stager with UUID Support (OSX x64)"
"31","payload/osx/x64/exec","","normal","No","OS X x64 Execute Command"
"32","payload/osx/x64/shell_bind_tcp","","normal","No","OS X x64 Shell Bind TCP"
"33","payload/osx/x64/shell_reverse_tcp","","normal","No","OS X x64 Shell Reverse TCP"
"34","payload/osx/x64/say","","normal","No","OS X x64 say Shellcode"
"35","payload/osx/x64/shell_find_tag","","normal","No","OSX Command Shell, Find Tag Inline"
"36","payload/osx/x64/meterpreter/bind_tcp","","normal","No","OSX Meterpreter, Bind TCP Stager"
"37","payload/osx/x64/meterpreter_reverse_http","","normal","No","OSX Meterpreter, Reverse HTTP Inline"
"38","payload/osx/x64/meterpreter_reverse_https","","normal","No","OSX Meterpreter, Reverse HTTPS Inline"
"39","payload/osx/x64/meterpreter_reverse_tcp","","normal","No","OSX Meterpreter, Reverse TCP Inline"
"40","payload/osx/x64/meterpreter/reverse_tcp","","normal","No","OSX Meterpreter, Reverse TCP Stager"
"41","payload/osx/x64/meterpreter/reverse_tcp_uuid","","normal","No","OSX Meterpreter, Reverse TCP Stager with UUID Support (OSX x64)"
"42","payload/cmd/windows/powershell/generic/debug_trap","","normal","No","Powershell Exec, Generic x86 Debug Trap"
"43","payload/cmd/windows/powershell/generic/tight_loop","","normal","No","Powershell Exec, Generic x86 Tight Loop"
