#,Name,Disclosure Date,Rank,Check,Description
"0","payload/multi/meterpreter/reverse_http","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTP Stager (Multiple Architectures)"
"1","payload/multi/meterpreter/reverse_https","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTPS Stager (Multiple Architectures)"
"2","payload/generic/custom","","normal","No","Custom Payload"
"3","payload/generic/shell_bind_tcp","","normal","No","Generic Command Shell, Bind TCP Inline"
"4","payload/generic/shell_reverse_tcp","","normal","No","Generic Command Shell, Reverse TCP Inline"
"5","payload/generic/ssh/interact","","normal","No","Interact with Established SSH Connection"
"6","payload/php/bind_php","","normal","No","PHP Command Shell, Bind TCP (via PHP)"
"7","payload/php/bind_perl","","normal","No","PHP Command Shell, Bind TCP (via Perl)"
"8","payload/php/bind_perl_ipv6","","normal","No","PHP Command Shell, Bind TCP (via perl) IPv6"
"9","payload/php/bind_php_ipv6","","normal","No","PHP Command Shell, Bind TCP (via php) IPv6"
"10","payload/php/shell_findsock","","normal","No","PHP Command Shell, Find Sock"
"11","payload/php/reverse_php","","normal","No","PHP Command Shell, Reverse TCP (via PHP)"
"12","payload/php/reverse_perl","","normal","No","PHP Command, Double Reverse TCP Connection (via Perl)"
"13","payload/php/download_exec","","normal","No","PHP Executable Download and Execute"
"14","payload/php/exec","","normal","No","PHP Execute Command"
"15","payload/php/meterpreter/bind_tcp","","normal","No","PHP Meterpreter, Bind TCP Stager"
"16","payload/php/meterpreter/bind_tcp_ipv6","","normal","No","PHP Meterpreter, Bind TCP Stager IPv6"
"17","payload/php/meterpreter/bind_tcp_ipv6_uuid","","normal","No","PHP Meterpreter, Bind TCP Stager IPv6 with UUID Support"
"18","payload/php/meterpreter/bind_tcp_uuid","","normal","No","PHP Meterpreter, Bind TCP Stager with UUID Support"
"19","payload/php/meterpreter/reverse_tcp","","normal","No","PHP Meterpreter, PHP Reverse TCP Stager"
"20","payload/php/meterpreter/reverse_tcp_uuid","","normal","No","PHP Meterpreter, PHP Reverse TCP Stager"
"21","payload/php/meterpreter_reverse_tcp","","normal","No","PHP Meterpreter, Reverse TCP Inline"
