#,Name,Disclosure Date,Rank,Check,Description
"0","payload/multi/meterpreter/reverse_http","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTP Stager (Multiple Architectures)"
"1","payload/multi/meterpreter/reverse_https","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTPS Stager (Multiple Architectures)"
"2","payload/python/shell_bind_tcp","","normal","No","Command Shell, Bind TCP (via python)"
"3","payload/python/shell_reverse_tcp","","normal","No","Command Shell, Reverse TCP (via python)"
"4","payload/python/shell_reverse_tcp_ssl","","normal","No","Command Shell, Reverse TCP SSL (via python)"
"5","payload/python/shell_reverse_udp","","normal","No","Command Shell, Reverse UDP (via python)"
"6","payload/generic/custom","","normal","No","Custom Payload"
"7","payload/generic/shell_bind_tcp","","normal","No","Generic Command Shell, Bind TCP Inline"
"8","payload/generic/shell_reverse_tcp","","normal","No","Generic Command Shell, Reverse TCP Inline"
"9","payload/generic/ssh/interact","","normal","No","Interact with Established SSH Connection"
"10","payload/python/meterpreter_bind_tcp","","normal","No","Python Meterpreter Shell, Bind TCP Inline"
"11","payload/python/meterpreter_reverse_http","","normal","No","Python Meterpreter Shell, Reverse HTTP Inline"
"12","payload/python/meterpreter_reverse_https","","normal","No","Python Meterpreter Shell, Reverse HTTPS Inline"
"13","payload/python/meterpreter_reverse_tcp","","normal","No","Python Meterpreter Shell, Reverse TCP Inline"
"14","payload/python/meterpreter/bind_tcp","","normal","No","Python Meterpreter, Python Bind TCP Stager"
"15","payload/python/meterpreter/bind_tcp_uuid","","normal","No","Python Meterpreter, Python Bind TCP Stager with UUID Support"
"16","payload/python/meterpreter/reverse_http","","normal","No","Python Meterpreter, Python Reverse HTTP Stager"
"17","payload/python/meterpreter/reverse_https","","normal","No","Python Meterpreter, Python Reverse HTTPS Stager"
"18","payload/python/meterpreter/reverse_tcp_ssl","","normal","No","Python Meterpreter, Python Reverse TCP SSL Stager"
"19","payload/python/meterpreter/reverse_tcp","","normal","No","Python Meterpreter, Python Reverse TCP Stager"
"20","payload/python/meterpreter/reverse_tcp_uuid","","normal","No","Python Meterpreter, Python Reverse TCP Stager with UUID Support"
"21","payload/python/pingback_bind_tcp","","normal","No","Python Pingback, Bind TCP (via python)"
"22","payload/python/pingback_reverse_tcp","","normal","No","Python Pingback, Reverse TCP (via python)"
