#,Name,Disclosure Date,Rank,Check,Description
"0","payload/android/meterpreter_reverse_http","","normal","No","Android Meterpreter Shell, Reverse HTTP Inline"
"1","payload/android/meterpreter_reverse_https","","normal","No","Android Meterpreter Shell, Reverse HTTPS Inline"
"2","payload/android/meterpreter_reverse_tcp","","normal","No","Android Meterpreter Shell, Reverse TCP Inline"
"3","payload/android/meterpreter/reverse_http","","normal","No","Android Meterpreter, Android Reverse HTTP Stager"
"4","payload/android/meterpreter/reverse_https","","normal","No","Android Meterpreter, Android Reverse HTTPS Stager"
"5","payload/android/meterpreter/reverse_tcp","","normal","No","Android Meterpreter, Android Reverse TCP Stager"
"6","payload/osx/armle/shell_bind_tcp","","normal","No","Apple iOS Command Shell, Bind TCP Inline"
"7","payload/osx/armle/shell_reverse_tcp","","normal","No","Apple iOS Command Shell, Reverse TCP Inline"
"8","payload/apple_ios/aarch64/shell_reverse_tcp","","normal","No","Apple iOS aarch64 Command Shell, Reverse TCP Inline"
"9","payload/osx/armle/vibrate","","normal","No","Apple iOS iPhone Vibrate"
"10","payload/apple_ios/aarch64/meterpreter_reverse_http","","normal","No","Apple_iOS Meterpreter, Reverse HTTP Inline"
"11","payload/apple_ios/armle/meterpreter_reverse_http","","normal","No","Apple_iOS Meterpreter, Reverse HTTP Inline"
"12","payload/apple_ios/aarch64/meterpreter_reverse_https","","normal","No","Apple_iOS Meterpreter, Reverse HTTPS Inline"
"13","payload/apple_ios/armle/meterpreter_reverse_https","","normal","No","Apple_iOS Meterpreter, Reverse HTTPS Inline"
"14","payload/apple_ios/aarch64/meterpreter_reverse_tcp","","normal","No","Apple_iOS Meterpreter, Reverse TCP Inline"
"15","payload/apple_ios/armle/meterpreter_reverse_tcp","","normal","No","Apple_iOS Meterpreter, Reverse TCP Inline"
"16","payload/multi/meterpreter/reverse_http","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTP Stager (Multiple Architectures)"
"17","payload/multi/meterpreter/reverse_https","","normal","No","Architecture-Independent Meterpreter Stage, Reverse HTTPS Stager (Multiple Architectures)"
"18","payload/bsd/sparc/shell_bind_tcp","","normal","No","BSD Command Shell, Bind TCP Inline"
"19","payload/bsd/sparc/shell_reverse_tcp","","normal","No","BSD Command Shell, Reverse TCP Inline"
"20","payload/android/shell/reverse_http","","normal","No","Command Shell, Android Reverse HTTP Stager"
"21","payload/android/shell/reverse_https","","normal","No","Command Shell, Android Reverse HTTPS Stager"
"22","payload/android/shell/reverse_tcp","","normal","No","Command Shell, Android Reverse TCP Stager"
"23","payload/firefox/shell_bind_tcp","","normal","No","Command Shell, Bind TCP (via Firefox XPCOM script)"
"24","payload/firefox/shell_reverse_tcp","","normal","No","Command Shell, Reverse TCP (via Firefox XPCOM script)"
"25","payload/generic/custom","","normal","No","Custom Payload"
"26","payload/firefox/exec","","normal","No","Firefox XPCOM Execute Command"
"27","payload/generic/shell_bind_tcp","","normal","No","Generic Command Shell, Bind TCP Inline"
"28","payload/generic/shell_reverse_tcp","","normal","No","Generic Command Shell, Reverse TCP Inline"
"29","payload/cmd/mainframe/generic_jcl","","normal","No","Generic JCL Test for Mainframe Exploits"
"30","payload/generic/debug_trap","","normal","No","Generic x86 Debug Trap"
"31","payload/generic/tight_loop","","normal","No","Generic x86 Tight Loop"
"32","payload/generic/ssh/interact","","normal","No","Interact with Established SSH Connection"
"33","payload/cmd/mainframe/apf_privesc_jcl","","normal","No","JCL to Escalate Privileges"
"34","payload/java/jsp_shell_bind_tcp","","normal","No","Java JSP Command Shell, Bind TCP Inline"
"35","payload/java/jsp_shell_reverse_tcp","","normal","No","Java JSP Command Shell, Reverse TCP Inline"
"36","payload/linux/armbe/shell_bind_tcp","","normal","No","Linux ARM Big Endian Command Shell, Bind TCP Inline"
