#,Name,Disclosure Date,Rank,Check,Description
"0","payload/java/jsp_shell_bind_tcp","","normal","No","Java JSP Command Shell, Bind TCP Inline"
"1","payload/java/jsp_shell_reverse_tcp","","normal","No","Java JSP Command Shell, Reverse TCP Inline"
"2","payload/cmd/unix/python/shell_bind_tcp","","normal","No","Python Exec, Command Shell, Bind TCP (via python)"
"3","payload/cmd/unix/python/shell_reverse_tcp","","normal","No","Python Exec, Command Shell, Reverse TCP (via python)"
"4","payload/cmd/unix/python/shell_reverse_tcp_ssl","","normal","No","Python Exec, Command Shell, Reverse TCP SSL (via python)"
"5","payload/cmd/unix/python/shell_reverse_udp","","normal","No","Python Exec, Command Shell, Reverse UDP (via python)"
"6","payload/cmd/unix/python/meterpreter_bind_tcp","","normal","No","Python Exec, Python Meterpreter Shell, Bind TCP Inline"
"7","payload/cmd/unix/python/meterpreter_reverse_http","","normal","No","Python Exec, Python Meterpreter Shell, Reverse HTTP Inline"
"8","payload/cmd/unix/python/meterpreter_reverse_https","","normal","No","Python Exec, Python Meterpreter Shell, Reverse HTTPS Inline"
"9","payload/cmd/unix/python/meterpreter_reverse_tcp","","normal","No","Python Exec, Python Meterpreter Shell, Reverse TCP Inline"
"10","payload/cmd/unix/python/meterpreter/bind_tcp","","normal","No","Python Exec, Python Meterpreter, Python Bind TCP Stager"
"11","payload/cmd/unix/python/meterpreter/bind_tcp_uuid","","normal","No","Python Exec, Python Meterpreter, Python Bind TCP Stager with UUID Support"
"12","payload/cmd/unix/python/meterpreter/reverse_http","","normal","No","Python Exec, Python Meterpreter, Python Reverse HTTP Stager"
"13","payload/cmd/unix/python/meterpreter/reverse_https","","normal","No","Python Exec, Python Meterpreter, Python Reverse HTTPS Stager"
"14","payload/cmd/unix/python/meterpreter/reverse_tcp_ssl","","normal","No","Python Exec, Python Meterpreter, Python Reverse TCP SSL Stager"
"15","payload/cmd/unix/python/meterpreter/reverse_tcp","","normal","No","Python Exec, Python Meterpreter, Python Reverse TCP Stager"
"16","payload/cmd/unix/python/meterpreter/reverse_tcp_uuid","","normal","No","Python Exec, Python Meterpreter, Python Reverse TCP Stager with UUID Support"
"17","payload/cmd/unix/python/pingback_bind_tcp","","normal","No","Python Exec, Python Pingback, Bind TCP (via python)"
"18","payload/cmd/unix/python/pingback_reverse_tcp","","normal","No","Python Exec, Python Pingback, Reverse TCP (via python)"
"19","payload/cmd/unix/bind_inetd","","normal","No","Unix Command Shell, Bind TCP (inetd)"
"20","payload/cmd/unix/bind_stub","","normal","No","Unix Command Shell, Bind TCP (stub)"
"21","payload/cmd/unix/bind_awk","","normal","No","Unix Command Shell, Bind TCP (via AWK)"
"22","payload/cmd/unix/bind_busybox_telnetd","","normal","No","Unix Command Shell, Bind TCP (via BusyBox telnetd)"
"23","payload/cmd/unix/bind_lua","","normal","No","Unix Command Shell, Bind TCP (via Lua)"
"24","payload/cmd/unix/bind_perl","","normal","No","Unix Command Shell, Bind TCP (via Perl)"
"25","payload/cmd/unix/bind_r","","normal","No","Unix Command Shell, Bind TCP (via R)"
"26","payload/cmd/unix/bind_ruby","","normal","No","Unix Command Shell, Bind TCP (via Ruby)"
"27","payload/cmd/unix/bind_ruby_ipv6","","normal","No","Unix Command Shell, Bind TCP (via Ruby) IPv6"
"28","payload/cmd/unix/bind_zsh","","normal","No","Unix Command Shell, Bind TCP (via Zsh)"
"29","payload/cmd/unix/bind_jjs","","normal","No","Unix Command Shell, Bind TCP (via jjs)"
"30","payload/cmd/unix/bind_netcat_gaping","","normal","No","Unix Command Shell, Bind TCP (via netcat -e)"
"31","payload/cmd/unix/bind_netcat_gaping_ipv6","","normal","No","Unix Command Shell, Bind TCP (via netcat -e) IPv6"
"32","payload/cmd/unix/bind_netcat","","normal","No","Unix Command Shell, Bind TCP (via netcat)"
"33","payload/cmd/unix/bind_nodejs","","normal","No","Unix Command Shell, Bind TCP (via nodejs)"
"34","payload/cmd/unix/bind_perl_ipv6","","normal","No","Unix Command Shell, Bind TCP (via perl) IPv6"
"35","payload/cmd/unix/bind_socat_udp","","normal","No","Unix Command Shell, Bind UDP (via socat)"
"36","payload/cmd/unix/reverse","","normal","No","Unix Command Shell, Double Reverse TCP (telnet)"
"37","payload/cmd/unix/reverse_openssl","","normal","No","Unix Command Shell, Double Reverse TCP SSL (openssl)"
"38","payload/cmd/unix/reverse_ssl_double_telnet","","normal","No","Unix Command Shell, Double Reverse TCP SSL (telnet)"
"39","payload/cmd/unix/pingback_bind","","normal","No","Unix Command Shell, Pingback Bind TCP (via netcat)"
"40","payload/cmd/unix/pingback_reverse","","normal","No","Unix Command Shell, Pingback Reverse TCP (via netcat)"
"41","payload/cmd/unix/reverse_bash","","normal","No","Unix Command Shell, Reverse TCP (/dev/tcp)"
"42","payload/cmd/unix/reverse_stub","","normal","No","Unix Command Shell, Reverse TCP (stub)"
"43","payload/cmd/unix/reverse_awk","","normal","No","Unix Command Shell, Reverse TCP (via AWK)"
"44","payload/cmd/unix/reverse_ksh","","normal","No","Unix Command Shell, Reverse TCP (via Ksh)"
"45","payload/cmd/unix/reverse_lua","","normal","No","Unix Command Shell, Reverse TCP (via Lua)"
"46","payload/cmd/unix/reverse_perl","","normal","No","Unix Command Shell, Reverse TCP (via Perl)"
"47","payload/cmd/unix/reverse_python","","normal","No","Unix Command Shell, Reverse TCP (via Python)"
"48","payload/cmd/unix/reverse_r","","normal","No","Unix Command Shell, Reverse TCP (via R)"
"49","payload/cmd/unix/reverse_ruby","","normal","No","Unix Command Shell, Reverse TCP (via Ruby)"
"50","payload/cmd/unix/reverse_tclsh","","normal","No","Unix Command Shell, Reverse TCP (via Tclsh)"
"51","payload/cmd/unix/reverse_zsh","","normal","No","Unix Command Shell, Reverse TCP (via Zsh)"
"52","payload/cmd/unix/reverse_jjs","","normal","No","Unix Command Shell, Reverse TCP (via jjs)"
"53","payload/cmd/unix/reverse_ncat_ssl","","normal","No","Unix Command Shell, Reverse TCP (via ncat)"
"54","payload/cmd/unix/reverse_netcat_gaping","","normal","No","Unix Command Shell, Reverse TCP (via netcat -e)"
"55","payload/cmd/unix/reverse_netcat","","normal","No","Unix Command Shell, Reverse TCP (via netcat)"
"56","payload/cmd/unix/reverse_nodejs","","normal","No","Unix Command Shell, Reverse TCP (via nodejs)"
"57","payload/cmd/unix/reverse_ssh","","normal","No","Unix Command Shell, Reverse TCP SSH"
"58","payload/cmd/unix/reverse_bash_telnet_ssl","","normal","No","Unix Command Shell, Reverse TCP SSL (telnet)"
"59","payload/cmd/unix/reverse_ruby_ssl","","normal","No","Unix Command Shell, Reverse TCP SSL (via Ruby)"
"60","payload/cmd/unix/reverse_perl_ssl","","normal","No","Unix Command Shell, Reverse TCP SSL (via perl)"
"61","payload/cmd/unix/reverse_php_ssl","","normal","No","Unix Command Shell, Reverse TCP SSL (via php)"
"62","payload/cmd/unix/reverse_python_ssl","","normal","No","Unix Command Shell, Reverse TCP SSL (via python)"
"63","payload/cmd/unix/reverse_bash_udp","","normal","No","Unix Command Shell, Reverse UDP (/dev/udp)"
"64","payload/cmd/unix/reverse_socat_udp","","normal","No","Unix Command Shell, Reverse UDP (via socat)"
