#,Name,Disclosure Date,Rank,Check,Description
"0","post/multi/gather/grub_creds","","normal","No","Gather GRUB Password"
"1","post/multi/recon/multiport_egress_traffic","","normal","No","Generate TCP/UDP Outbound Traffic On Multiple Ports"
"2","post/multi/gather/dns_bruteforce","","normal","No","Multi Gather DNS Forward Lookup Bruteforce"
"3","post/multi/gather/dns_reverse_lookup","","normal","No","Multi Gather DNS Reverse Lookup Scan"
"4","post/multi/gather/dns_srv_lookup","","normal","No","Multi Gather DNS Service Record Lookup Scan"
"5","post/multi/gather/ping_sweep","","normal","No","Multi Gather Ping Sweep"
"6","post/multi/manage/multi_post","","normal","No","Multi Manage Post Module Macro Execution"
"7","post/multi/recon/local_exploit_suggester","","normal","No","Multi Recon Local Exploit Suggester"
"8","post/multi/gather/enum_software_versions","","normal","No","Multiplatform Installed Software Version Enumerator"
"9","post/multi/gather/wlan_geolocate","","normal","No","Multiplatform WLAN Enumeration and Geolocation"
"10","post/multi/manage/sudo","","normal","No","Multiple Linux / Unix Post Sudo Upgrade Shell"
"11","post/multi/recon/reverse_lookup","","normal","No","Reverse Lookup IP Addresses"
"12","post/multi/manage/shell_to_meterpreter","","normal","No","Shell to Meterpreter Upgrade"
"13","post/solaris/gather/enum_services","","normal","No","Solaris Gather Configured Services"
"14","post/solaris/gather/hashdump","","normal","No","Solaris Gather Dump Password Hashes for Solaris Systems"
"15","post/solaris/gather/enum_packages","","normal","No","Solaris Gather Installed Packages"
"16","post/solaris/gather/checkvm","","normal","No","Solaris Gather Virtual Environment Detection"
"17","post/solaris/escalate/pfexec","","normal","No","Solaris pfexec Upgrade Shell"
"18","post/solaris/escalate/srsexec_readline","2007-05-07","normal","Yes","Solaris srsexec Arbitrary File Reader"
"19","post/multi/recon/sudo_commands","","normal","No","Sudo Commands"
"20","post/multi/gather/unix_cached_ad_hashes","","normal","No","UNIX Gather Cached AD Hashes"
"21","post/multi/gather/unix_kerberos_tickets","","normal","No","UNIX Gather Kerberos Tickets"
"22","post/multi/manage/upload_exec","","normal","No","Upload and Execute"
