#,Name,Disclosure Date,Rank,Check,Description
"0","post/windows/gather/ad_to_sqlite","","normal","No","AD Computer, Group and Recursive User Membership to Local SQLite DB"
"1","post/windows/gather/credentials/aim","","normal","No","Aim credential gatherer"
"2","post/windows/manage/archmigrate","","normal","No","Architecture Migrate"
"3","post/windows/gather/avast_memory_dump","","normal","No","Avast AV Memory Dumping Utility"
"4","post/windows/gather/bitlocker_fvek","","normal","No","Bitlocker Master Key (FVEK) Extraction"
"5","post/windows/gather/bloodhound","","normal","No","BloodHound Ingestor"
"6","post/windows/gather/get_bookmarks","","normal","No","Bookmarked Sites Retriever"
"7","post/multi/manage/fileshare","","normal","No","Browse the session filesystem in a Web Browser"
"8","post/multi/gather/chrome_cookies","","normal","No","Chrome Gather Cookies"
"9","post/windows/gather/credentials/chrome","","normal","No","Chrome credential gatherer"
"10","post/windows/gather/credentials/comodo","","normal","No","Comodo credential gatherer"
"11","post/windows/gather/credentials/coolnovo","","normal","No","Coolnovo credential gatherer"
"12","post/windows/gather/credentials/thycotic_secretserver_dump","2022-08-15","manual","No","Delinea Thycotic Secret Server Dump"
"13","post/windows/manage/dell_memory_protect","","manual","No","Dell DBUtilDrv2.sys Memory Protection Modifier"
"14","post/multi/sap/smdagent_get_properties","","normal","No","Diagnostics Agent in Solution Manager, stores unencrypted credentials for Solution Manager server"
"15","post/windows/gather/credentials/digsby","","normal","No","Digsby credential gatherer"
"16","post/windows/manage/rollback_defender_signatures","","normal","No","Disable Windows Defender Signatures"
"17","post/windows/manage/execute_dotnet_assembly","","normal","No","Execute .net Assembly (x64 only)"
"18","post/windows/gather/forensics/fanny_bmp_check","","normal","No","FannyBMP or DementiaWheel Detection Registry Check"
"19","post/windows/gather/credentials/flock","","normal","No","Flock credential gatherer"
"20","post/windows/manage/forward_pageant","","normal","No","Forward SSH Agent Requests To Remote Pageant"
"21","post/windows/gather/credentials/gadugadu","","normal","No","Gadugadu credential gatherer"
"22","post/multi/gather/dbeaver","","normal","No","Gather Dbeaver Passwords"
"23","post/multi/gather/minio_client","","normal","No","Gather MinIO Client Key"
"24","post/multi/gather/tomcat_gather","","normal","No","Gather Tomcat Credentials"
"25","post/multi/gather/wowza_streaming_engine_creds","","normal","No","Gather Wowza Streaming Engine Credentials"
"26","post/windows/gather/make_csv_orgchart","","normal","No","Generate CSV Organizational Chart Data Using Manager Information"
"27","post/multi/recon/multiport_egress_traffic","","normal","No","Generate TCP/UDP Outbound Traffic On Multiple Ports"
"28","post/windows/gather/credentials/icq","","normal","No","ICQ credential gatherer"
